CustomerKey;GeographyKey;CustomerAlternateKey;Title;FirstName;MiddleName;LastName;NameStyle;BirthDate;MaritalStatus;Suffix;Gender;EmailAddress;YearlyIncome;TotalChildren;NumberChildrenAtHome;EnglishEducation;SpanishEducation;FrenchEducation;EnglishOccupation;SpanishOccupation;FrenchOccupation;HouseOwnerFlag;NumberCarsOwned;AddressLine1;AddressLine2;Phone;DateFirstPurchase;CommuteDistance;GeographyKey;City;StateProvinceCode;StateProvinceName;CountryRegionCode;EnglishCountryRegionName;SpanishCountryRegionName;FrenchCountryRegionName;PostalCode;SalesTerritoryKey;IpAddressLocator;ResellerKey;GeographyKey;ResellerAlternateKey;Phone;BusinessType;ResellerName;NumberEmployees;OrderFrequency;OrderMonth;FirstOrderYear;LastOrderYear;ProductLine;AddressLine1;AddressLine2;AnnualSales;BankName;MinPaymentType;MinPaymentAmount;AnnualRevenue;YearOpened;ï»¿ProductKey;OrderDateKey;DueDateKey;ShipDateKey;CustomerKey;PromotionKey;CurrencyKey;SalesTerritoryKey;SalesOrderNumber;SalesOrderLineNumber;RevisionNumber;OrderQuantity;UnitPrice;ExtendedAmount;UnitPriceDiscountPct;DiscountAmount;ProductStandardCost;TotalProductCost;SalesAmount;TaxAmt;Freight;CarrierTrackingNumber;CustomerPONumber;OrderDate;DueDate;ShipDate
27666;322;AW00027666;;Alyssa;L;Garcia;FALSE;26/7/1954;M;;F;alyssa16@adventure-works.com;60000;3;0;Partial High School;Educación secundaria (en curso);Niveau bac;Skilled Manual;Obrero especializado;Technicien;1;2;5975 Grove Way;;197-555-0115;9/7/2005;5-10 Miles;322;Fremont;CA;California;US;United States;Estados Unidos;États-Unis;94536;4;192.0.2.69;5;322;AW00000005;828-555-0186;Specialty Bike Shop;Metropolitan Sports Supply;13;A;6;2006;2008;Road;482505 Warm Springs Blvd.;;800000;Primary Bank & Reserve;;;80000;1982;313;20110106;20110118;20110113;27666;1;100;4;SO43728;1;1;1;3578.27;3578.27;0;0;21.712.942;21.712.942;3578.27;2.862.616;894.568;NULL;NULL;2011-01-06 00:00:00.000;2011-01-18 00:00:00.000;2011-01-13 00:00:00.000
27649;637;AW00027649;;Evan;C;Bailey;FALSE;8/6/1955;M;;M;evan17@adventure-works.com;60000;2;0;High School;Educación secundaria;Bac + 2;Professional;Profesional;Cadre;0;2;8546 Wilson Court;;572-555-0125;19/7/2005;1-2 Miles;637;Seattle;WA;Washington;US;United States;Estados Unidos;États-Unis;98104;1;203.0.113.130;1;637;AW00000001;245-555-0173;Value Added Reseller;A Bike Store;2;S;5;2005;2006;Road;2251 Elliot Avenue;;300000;International Bank;;;30000;1974;312;20110116;20110128;20110123;27649;1;100;1;SO43768;1;1;1;3578.27;3578.27;0;0;21.712.942;21.712.942;3578.27;2.862.616;894.568;NULL;NULL;2011-01-16 00:00:00.000;2011-01-28 00:00:00.000;2011-01-23 00:00:00.000
11030;28;AW00011030;;Bethany;G;Yuan;FALSE;22/2/1947;M;;F;bethany10@adventure-works.com;10000;2;1;Partial High School;Educación secundaria (en curso);Niveau bac;Clerical;Administrativo;Employé;1;2;636 Vine Hill Way;;1 (11) 500 555-0182;8/8/2005;1-2 Miles;28;Cloverdale;SA;South Australia;AU;Australia;Australia;Australie;6105;9;198.51.100.29;51;28;AW00000051;1 (11) 500 555-0133;Warehouse;Ideal Components;82;Q;6;2007;2008;Touring;2-252 Beauchamp Road;Botany Bay Industrial Estate;3000000;International Security;2;;300000;1988;344;20110205;20110217;20110212;11030;1;6;9;SO43956;1;1;1;3399.99;3399.99;0;0;19.121.544;19.121.544;3399.99;2.719.992;849.998;NULL;NULL;2011-02-05 00:00:00.000;2011-02-17 00:00:00.000;2011-02-12 00:00:00.000
11046;6;AW00011046;;Christine;;Yuan;FALSE;22/3/1950;M;;F;christine4@adventure-works.com;30000;3;0;High School;Educación secundaria;Bac + 2;Skilled Manual;Obrero especializado;Technicien;1;2;2356 Orange St;;1 (11) 500 555-0113;9/8/2005;5-10 Miles;6;Lavender Bay;NSW;New South Wales;AU;Australia;Australia;Australie;2060;9;198.51.100.7;69;6;AW00000069;1 (11) 500 555-0113;Warehouse;Online Bike Catalog;88;Q;6;2007;2008;Touring;65 Epping Rd;;3000000;Guardian Bank;2;;300000;1979;349;20110206;20110218;20110213;11046;1;6;9;SO43960;1;1;1;3374.99;3374.99;0;0;18.980.944;18.980.944;3374.99;2.699.992;843.748;NULL;NULL;2011-02-06 00:00:00.000;2011-02-18 00:00:00.000;2011-02-13 00:00:00.000
11046;6;AW00011046;;Christine;;Yuan;FALSE;22/3/1950;M;;F;christine4@adventure-works.com;30000;3;0;High School;Educación secundaria;Bac + 2;Skilled Manual;Obrero especializado;Technicien;1;2;2356 Orange St;;1 (11) 500 555-0113;9/8/2005;5-10 Miles;6;Lavender Bay;NSW;New South Wales;AU;Australia;Australia;Australie;2060;9;198.51.100.7;33;6;AW00000033;1 (11) 500 555-0189;Warehouse;Global Sports Outlet;70;Q;6;2007;2008;Mountain;Ctrcrt Bus Pk/995-27 Paul St N;;3000000;Primary Bank & Reserve;1;;300000;1997;349;20110206;20110218;20110213;11046;1;6;9;SO43960;1;1;1;3374.99;3374.99;0;0;18.980.944;18.980.944;3374.99;2.699.992;843.748;NULL;NULL;2011-02-06 00:00:00.000;2011-02-18 00:00:00.000;2011-02-13 00:00:00.000
11046;6;AW00011046;;Christine;;Yuan;FALSE;22/3/1950;M;;F;christine4@adventure-works.com;30000;3;0;High School;Educación secundaria;Bac + 2;Skilled Manual;Obrero especializado;Technicien;1;2;2356 Orange St;;1 (11) 500 555-0113;9/8/2005;5-10 Miles;6;Lavender Bay;NSW;New South Wales;AU;Australia;Australia;Australie;2060;9;198.51.100.7;15;6;AW00000015;1 (11) 500 555-0140;Warehouse;Budget Toy Store;52;Q;6;2007;2008;Mountain;25 Epping Road;;3000000;International Bank;3;600;300000;2002;349;20110206;20110218;20110213;11046;1;6;9;SO43960;1;1;1;3374.99;3374.99;0;0;18.980.944;18.980.944;3374.99;2.699.992;843.748;NULL;NULL;2011-02-06 00:00:00.000;2011-02-18 00:00:00.000;2011-02-13 00:00:00.000
11038;6;AW00011038;;Diana;F;Hernandez;FALSE;23/3/1948;M;;F;diana2@adventure-works.com;10000;2;1;Partial High School;Educación secundaria (en curso);Niveau bac;Clerical;Administrativo;Employé;1;2;8357 Sandy Cove Lane;;1 (11) 500 555-0114;10/8/2005;5-10 Miles;6;Lavender Bay;NSW;New South Wales;AU;Australia;Australia;Australie;2060;9;198.51.100.7;69;6;AW00000069;1 (11) 500 555-0113;Warehouse;Online Bike Catalog;88;Q;6;2007;2008;Touring;65 Epping Rd;;3000000;Guardian Bank;2;;300000;1979;351;20110207;20110219;20110214;11038;1;6;9;SO43965;1;1;1;3374.99;3374.99;0;0;18.980.944;18.980.944;3374.99;2.699.992;843.748;NULL;NULL;2011-02-07 00:00:00.000;2011-02-19 00:00:00.000;2011-02-14 00:00:00.000
11038;6;AW00011038;;Diana;F;Hernandez;FALSE;23/3/1948;M;;F;diana2@adventure-works.com;10000;2;1;Partial High School;Educación secundaria (en curso);Niveau bac;Clerical;Administrativo;Employé;1;2;8357 Sandy Cove Lane;;1 (11) 500 555-0114;10/8/2005;5-10 Miles;6;Lavender Bay;NSW;New South Wales;AU;Australia;Australia;Australie;2060;9;198.51.100.7;33;6;AW00000033;1 (11) 500 555-0189;Warehouse;Global Sports Outlet;70;Q;6;2007;2008;Mountain;Ctrcrt Bus Pk/995-27 Paul St N;;3000000;Primary Bank & Reserve;1;;300000;1997;351;20110207;20110219;20110214;11038;1;6;9;SO43965;1;1;1;3374.99;3374.99;0;0;18.980.944;18.980.944;3374.99;2.699.992;843.748;NULL;NULL;2011-02-07 00:00:00.000;2011-02-19 00:00:00.000;2011-02-14 00:00:00.000
11038;6;AW00011038;;Diana;F;Hernandez;FALSE;23/3/1948;M;;F;diana2@adventure-works.com;10000;2;1;Partial High School;Educación secundaria (en curso);Niveau bac;Clerical;Administrativo;Employé;1;2;8357 Sandy Cove Lane;;1 (11) 500 555-0114;10/8/2005;5-10 Miles;6;Lavender Bay;NSW;New South Wales;AU;Australia;Australia;Australie;2060;9;198.51.100.7;15;6;AW00000015;1 (11) 500 555-0140;Warehouse;Budget Toy Store;52;Q;6;2007;2008;Mountain;25 Epping Road;;3000000;International Bank;3;600;300000;2002;351;20110207;20110219;20110214;11038;1;6;9;SO43965;1;1;1;3374.99;3374.99;0;0;18.980.944;18.980.944;3374.99;2.699.992;843.748;NULL;NULL;2011-02-07 00:00:00.000;2011-02-19 00:00:00.000;2011-02-14 00:00:00.000
16657;6;AW00016657;;Alvin;E;She;FALSE;21/3/1955;M;;M;alvin22@adventure-works.com;80000;2;0;High School;Educación secundaria;Bac + 2;Skilled Manual;Obrero especializado;Technicien;0;2;115 Santa Fe Street;;1 (11) 500 555-0130;11/8/2005;1-2 Miles;6;Lavender Bay;NSW;New South Wales;AU;Australia;Australia;Australie;2060;9;198.51.100.7;69;6;AW00000069;1 (11) 500 555-0113;Warehouse;Online Bike Catalog;88;Q;6;2007;2008;Touring;65 Epping Rd;;3000000;Guardian Bank;2;;300000;1979;314;20110208;20110220;20110215;16657;1;6;9;SO43971;1;1;1;3578.27;3578.27;0;0;21.712.942;21.712.942;3578.27;2.862.616;894.568;NULL;NULL;2011-02-08 00:00:00.000;2011-02-20 00:00:00.000;2011-02-15 00:00:00.000
